,,,,,,
,134,Willy Hernangomez,"401,689",,,
,135,Matisse Thybulle,"388,562",,,
,136,Jaren Jackson Jr.,"388,083",,,
,137,Terrence Ross,"387,461",,,
,138,Kevon Looney,"383,049",,,
,139,Grayson Allen,"380,226",,,
,140,Talen Horton-Tucker,"367,440",,,
,141,Ben McLemore,"362,348",,,
,142,Jaden Hardy,"357,326",,,
,143,Hamidou Diallo,"356,748",,,
,144,Chris Duarte,"355,314",,,
,145,Lauri Markkanen,"346,506",,,
,146,Trey Burke,"341,383",,,
,147,Michael Carter-Williams,"338,027",,,
,148,Marcus Morris,"330,359",,,
,149,Austin Reaves,"327,784",,,
,150,Norman Powell,"315,701",,,
,151,Tre Jones,"311,351",,,
,152,Jonathan Isaac,"307,618",,,
,153,Spencer Dinwiddie,"300,687",,,
,154,Obi Toppin,"294,838",,,
,155,Alperen Sengun,"284,290",,,
,156,Bobby Portis,"283,067",,,
,157,Jaxson Hayes,"282,847",,,
,158,Lonnie Walker,"281,348",,,
,159,Gary Trent Jr.,"278,333",,,
,160,Nicolas Batum,"274,075",,,
,161,Jarrett Allen,"273,397",,,
,162,Josh Richardson,"269,958",,,
,163,Domantas Sabonis,"269,910",,,
,164,Kendrick Nunn,"266,321",,,
,165,Jonas Valanciunas,"264,845",,,
,166,Justin Holiday,"264,166",,,
,167,Bones Hyland,"264,079",,,
,168,Tyrese Haliburton,"263,871",,,
,169,Grant Williams,"262,826",,,
,170,Caris LeVert,"262,794",,,
,171,Nerlens Noel,"261,628",,,
,172,Jose Alvarado,"258,623",,,
,173,Devonte' Graham,"255,088",,,
,174,Myles Turner,"254,095",,,
,175,Carsen Edwards,"253,960",,,
,176,Doug McDermott,"253,010",,,
,177,Payton Pritchard,"252,501",,,
,178,Eric Gordon,"251,940",,,
,179,Al-Farouq Aminu,"251,341",,,
,180,Robert Covington,"251,334",,,
,181,Robert Williams,"245,115",,,
,182,Josh Jackson,"243,181",,,
,183,Frank Ntilikina,"238,866",,,
,184,Ayo Dosunmu,"237,855",,,
,185,Kent Bazemore,"234,660",,,
,186,Killian Hayes,"234,510",,,
,187,Anfernee Simons,"234,404",,,
,188,Mikal Bridges,"232,207",,,
,189,Jaden Ivey,"230,870",,,
,190,Evan Mobley,"229,419",,,
,191,Immanuel Quickley,"224,792",,,
,192,Kevin Knox,"221,624",,,
,193,Cameron Johnson,"220,752",,,
,194,OG Anunoby,"220,112",,,
,195,Wesley Matthews,"216,463",,,
,196,Deni Avdija,"216,289",,,
,197,Usman Garuba,"216,289",,,
,198,K.J. Martin,"213,326",,,
,199,Christian Wood,"212,750",,,
,200,John Collins,"211,943",,,
,201,Taurean Prince,"209,760",,,
,202,Jerami Grant,"207,343",,,
,203,Jalen Brunson,"207,058",,,
,204,Luke Kennard,"206,906",,,
,205,Desmond Bane,"202,683",,,
,206,Moses Moody,"198,536",,,
,207,Gorgui Dieng,"195,525",,,
,208,Rodney Hood,"194,869",,,
,209,Reggie Jackson,"193,913",,,
,210,Reggie Bullock,"191,014",,,
,211,MarJon Beauchamp,"189,290",,,
,212,Nassir Little,"189,056",,,
,213,Davion Mitchell,"187,968",,,
,214,Jeremy Sochan,"186,826",,,
,215,Pat Connaughton,"186,314",,,
,216,Quentin Grimes,"186,009",,,
,217,Onyeka Okongwu,"183,577",,,
,218,Precious Achiuwa,"180,977",,,
,219,Frank Kaminsky,"179,484",,,
,220,Cory Joseph,"178,446",,,
,221,Sam Dekker,"178,316",,,
,222,Luguentz Dort,"178,077",,,
,223,Isaac Okoro,"177,011",,,
,224,Jaden Springer,"176,387",,,
,225,Tre Mann,"174,097",,,
,226,Kelly Olynyk,"174,003",,,
,227,Moe Wagner,"172,588",,,
,228,Daniel Theis,"171,352",,,
,229,Derrick White,"167,182",,,
,230,Ivica Zubac,"164,175",,,
,231,Shaedon Sharpe,"164,028",,,
,232,Ziaire Williams,"161,641",,,
,233,Josh Green,"161,076",,,
,234,Wendell Carter Jr.,"160,988",,,
,235,Robin Lopez,"160,393",,,
,236,Trey Lyles,"160,298",,,
,237,Malcolm Brogdon,"158,356",,,
,238,Romeo Langford,"158,238",,,
,239,James Harden,"157,214",,,
,240,Gary Harris,"155,826",,,
,241,Nemanja Bjelica,"155,362",,,
,242,Bismack Biyombo,"154,750",,,
,243,Keldon Johnson,"154,175",,,
,244,Dalen Terry,"152,407",,,
,245,Jabari Smith II,"148,132",,,
,246,Bennedict Mathurin,"147,711",,,
,247,Royce O'Neale,"147,666",,,
,248,Kyle Anderson,"147,418",,,
,249,Eric Paschall,"147,290",,,
,250,Monte Morris,"147,017",,,
,251,Naz Reid,"145,161",,,
,252,Dillon Brooks,"145,001",,,
